Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
Banco Central de Honduras,,,,,
Departamento de Operaciones Cambiarias,,,,,
"Ingresos por Remesas Familiares, Según  Municipio, 2020-2025",,,,,
(en USD),,,,,
,,,,,
AÑO,Mes,Departamento,Municipio,Monto,Beneficiario 
2020,Febrero,El Paraíso,Yuscaran,3032742.230000001,5438
2020,Febrero,El Paraíso,Trojes,125051.27,411
2020,Febrero,El Paraíso,Teupasenti,110562,274
2020,Febrero,El Paraíso,El Paraiso,37164.50000000001,173
2020,Febrero,El Paraíso,Alauca,27287.32,82
2020,Febrero,El Paraíso,San Lucas,6869.490000000001,29
2020,Febrero,El Paraíso,Liure,509.71,2
2020,Febrero,El Paraíso,Soledad,403.04,2
2020,Febrero,El Paraíso,Moroceli,150,2
2020,Febrero,El Paraíso,Oropoli,125.38,1
2020,Febrero,Santa Bárbara,Santa Barbara,4603958.000000008,9977
2020,Febrero,Santa Bárbara,Quimistan,937461.9099999998,3344
2020,Febrero,Santa Bárbara,Azacualpa,415579.94,1063
2020,Febrero,Santa Bárbara,San Francisco de Ojuera,138098.0199999998,319
2020,Febrero,Santa Bárbara,Trinidad,101477,410
2020,Febrero,Santa Bárbara,Petoa,56558.09,289
2020,Febrero,Santa Bárbara,Macuelizo,31911.37,115
2020,Febrero,Santa Bárbara,San Marcos,14846.05,40
2020,Febrero,Santa Bárbara,Naranjito,9055.43,60
2020,Febrero,Santa Bárbara,San Jose de Colinas,8517.09,38
2020,Febrero,Santa Bárbara,San Pedro Zacapa,6537,40
2020,Febrero,Santa Bárbara,Concepcion del Norte,3073.51,2
2020,Febrero,Santa Bárbara,Las Vegas,2792.09,9
2020,Febrero,Santa Bárbara,San Luis,2430.6,5
2020,Febrero,Santa Bárbara,Atima,1676.83,10
2020,Febrero,Santa Bárbara,Arada,919.35,1
2020,Febrero,Santa Bárbara,Santa Rita,898.21,1
2020,Febrero,Santa Bárbara,Ceguaca,824.14,2
2020,Febrero,Santa Bárbara,Concepcion del Sur,649.66,1
2020,Febrero,Santa Bárbara,Ilama,450,2
2020,Febrero,Santa Bárbara,Nueva Celilac,419.98,2
2020,Febrero,Santa Bárbara,San Vicente Centenario,369.57,2
2020,Febrero,Santa Bárbara,San Nicolas,343.58,4
2020,Febrero,Santa Bárbara,Nueva Frontera,199.62,1
2020,Febrero,Santa Bárbara,Proteccion,92,1
2020,Febrero,Intibucá,La Esperanza,4038686.460000002,7397
2020,Febrero,Intibucá,Jesus de Otoro,287568.53,1145
2020,Febrero,Intibucá,Intibuca,46792.10000000001,99
2020,Febrero,Intibucá,San Juan,7308.219999999999,39
2020,Febrero,Intibucá,Concepcion,1799.41,2
2020,Febrero,Intibucá,Magdalena,1497.01,1
2020,Febrero,Intibucá,Yamaranguila,1003.5,2
2020,Febrero,Intibucá,Camasca,1000.01,1
2020,Febrero,Intibucá,Colomoncagua,205,1
2020,Febrero,Intibucá,Masaguara,49.89,1
2020,Febrero,Lempira,Gracias,1540539.35,3746
2020,Febrero,Lempira,Lepaera,214280.67,726
2020,Febrero,Lempira,La Union,156322.28,316
2020,Febrero,Lempira,Cololaca,2883.14,2
2020,Febrero,Lempira,San Francisco,2229.74,2
2020,Febrero,Lempira,Gualcinse,1973.6,3
2020,Febrero,Lempira,San Sebastian,1290,2
2020,Febrero,Lempira,San Juan Guarita,1131.54,3
2020,Febrero,Lempira,Erandique,648.67,1
2020,Febrero,Lempira,Valladolid,491.98,1
2020,Febrero,Lempira,Guarita,279.44,2
2020,Febrero,Lempira,San Marcos de Caiquin,100,1
2020,Febrero,Lempira,Talgua,98.41,1
2020,Febrero,Lempira,Las Flores,86.49,2
2020,Febrero,Lempira,Virginia,49.99,1
2020,Febrero,Lempira,La Iguala,49.9,1
2020,Febrero,Lempira,San Rafael,40.5,1
2020,Febrero,Lempira,Candelaria,8.99,1
2020,Febrero,Islas de la Bahía,Roatan,1840122.790000001,4615
2020,Febrero,Islas de la Bahía,Guanaja,63982.56,166
2020,Febrero,Islas de la Bahía,Jose Santos Guardiola,110,1
2020,Febrero,Gracias a Dios,Puerto Lempira,1604364.22,2005
2020,Febrero,Gracias a Dios,Brus Laguna,52.72,1
2020,Febrero,La Paz,La Paz,1029454.35,2455
2020,Febrero,La Paz,Marcala,468761.9399999998,1780
2020,Febrero,La Paz,Santa Ana,1496.99,1
2020,Febrero,La Paz,San Juan,1476.01,1
2020,Febrero,La Paz,Cabañas,1336.33,3
2020,Febrero,La Paz,Aguanqueterique,1220,3
2020,Febrero,La Paz,Lauterique,838.97,3
2020,Febrero,La Paz,San Jose,749.0699999999999,2
2020,Febrero,La Paz,Santa Maria,729.02,2
2020,Febrero,La Paz,Santiago Puringla,577,11
2020,Febrero,La Paz,San Antonio del Norte,460,1
2020,Febrero,La Paz,Yarula,243.09,1
2020,Febrero,La Paz,San Pedro de Tutule,100,1
2020,Febrero,La Paz,Mercedes de Oriente,49.92,1
2025,Mayo,Francisco Morazán,Distrito Central,640115200.0000001,885488
2020,Marzo,Francisco Morazán,Talanga,1147671.91,3659
2020,Marzo,Francisco Morazán,Guaimaca,754861.8299999998,2479
2020,Marzo,Francisco Morazán,Villa de San Francisco,189225.57,439
2020,Marzo,Francisco Morazán,Alubaren,129132.55,521
2020,Marzo,Francisco Morazán,Valle de Angeles,73731.76000000001,247
2020,Marzo,Francisco Morazán,San Antonio de Oriente,5026.83,31
2020,Marzo,Francisco Morazán,Santa Lucia,1947.71,5
2020,Marzo,Francisco Morazán,San Ignacio,1532.08,2
2020,Marzo,Francisco Morazán,El Porvenir,1050,1
2020,Marzo,Francisco Morazán,Nueva Armenia,971.6,2
2020,Marzo,Francisco Morazán,Sabana Grande,961.72,5
2020,Marzo,Francisco Morazán,Lepaterique,668.02,1
2020,Marzo,Francisco Morazán,La Venta,608,1
2020,Marzo,Francisco Morazán,Vallecillo,511.27,2
2020,Marzo,Francisco Morazán,San Juan de Flores,450,1
2020,Marzo,Francisco Morazán,Santa Ana,344.14,2
2020,Marzo,Francisco Morazán,Orica,268.62,2
2020,Marzo,Francisco Morazán,Ojojona,150,1
2020,Marzo,Francisco Morazán,Reitoca,132.32,1
2020,Marzo,Francisco Morazán,La Libertad,103.29,1
2020,Marzo,Francisco Morazán,San Miguelito,100,1
2020,Marzo,Cortés,San Pedro Sula,63981639.57998994,161601
2020,Marzo,Cortés,Choloma,5008314.85000002,18155
2020,Marzo,Cortés,Villanueva,3967205.660000028,14862
2020,Marzo,Cortés,Puerto Cortes,3790948.740000016,12744
2020,Marzo,Cortés,La Lima,2567614.100000007,9083
2020,Marzo,Cortés,Santa Cruz de Yojoa,1636071.140000002,6058
2020,Marzo,Cortés,Omoa,745546.91,2633
2020,Marzo,Cortés,San Manuel,139476.81,347
