"GID_1","NAME_1","GID_2","NAME_2","lon","lat"
"HND.12_1","La Paz","HND.12.12_1","San José",-87.9533242722052,14.2222848931145
"HND.12_1","La Paz","HND.12.13_1","San Juan",-87.7344148234218,13.9437547050119
"HND.12_1","La Paz","HND.12.14_1","San Pedro de Tutule",-87.8461446013947,14.2360972950989
"HND.12_1","La Paz","HND.12.15_1","Santa Ana",-87.9439189133133,13.9797876419083
"HND.12_1","La Paz","HND.12.16_1","Santa Elena",-88.1580231768103,14.0464109310267
"HND.12_1","La Paz","HND.12.17_1","Santa María",-87.9108410515611,14.2575000563158
"HND.12_1","La Paz","HND.12.18_1","Santiago de Puringla",-87.8746263474284,14.3456591395607
"HND.12_1","La Paz","HND.12.19_1","Yarula",-88.0955234176363,14.0960536558478
"HND.13_1","Lempira","HND.13.1_1","Belen",-88.4254118885658,14.5086729119418
"HND.13_1","Lempira","HND.13.2_1","Candelaria",-88.5557306817977,14.0442839008572
"HND.13_1","Lempira","HND.13.3_1","Cololaca",-88.8783334075944,14.3005342337419
"HND.13_1","Lempira","HND.13.4_1","Erandique",-88.4538027712013,14.2265609826995
"HND.13_1","Lempira","HND.13.5_1","Gracias",-88.6122436665157,14.5933172375163
"HND.13_1","Lempira","HND.13.6_1","Gualcince",-88.5662945972383,14.1142460218795
"HND.13_1","Lempira","HND.13.7_1","Guarita",-88.8371372249129,14.194778065105
"HND.13_1","Lempira","HND.13.8_1","La Campa",-88.5555855278833,14.4534682946645
"HND.13_1","Lempira","HND.13.9_1","La Iguala",-88.4479110117209,14.6420754522208
"HND.13_1","Lempira","HND.13.10_1","La Unión",-88.4159821719378,14.7901121729455
"HND.13_1","Lempira","HND.13.11_1","La Virtud",-88.6837078334499,14.0645093849117
"HND.13_1","Lempira","HND.13.12_1","Las Flores",-88.6643777227697,14.6584084620227
"HND.13_1","Lempira","HND.13.13_1","Lepaera",-88.5873581873814,14.8091003052313
"HND.13_1","Lempira","HND.13.14_1","Mapulaca",-88.6194732433787,14.0392178043608
"HND.13_1","Lempira","HND.13.15_1","Piraera",-88.4609814460797,14.0431265274288
"HND.13_1","Lempira","HND.13.16_1","San Andrés",-88.6101912346223,14.2176294995191
"HND.13_1","Lempira","HND.13.17_1","San Francisco",-88.3652538528469,14.1199408142292
"HND.13_1","Lempira","HND.13.18_1","San Juan Guarita",-88.7795670134822,14.1334121237493
