Year,codDeptoNac,codMunNac,codDepto,codMun,in_city,capital,sps,other_main,N,USD
2020,1,7,3,13,0,0,0,0,2,298
2020,1,7,16,7,0,0,0,0,1,2219.97
2020,1,7,5,3,0,0,0,0,98,71952.22
2020,1,7,2,9,0,0,0,0,350,255585.68
2020,1,7,16,4,0,0,0,0,14,12674.28
2020,1,7,16,1,0,0,0,1,76,42827.12
2020,1,7,18,10,0,0,0,0,3,3418.95
2020,1,7,4,21,0,0,0,0,4,2749.34
2020,1,7,10,3,0,0,0,0,2,2060
2020,1,7,5,4,0,0,0,0,1,92.02
2020,1,7,8,17,0,0,0,0,1,200
2020,1,7,17,9,0,0,0,0,36,47576.9
2020,1,7,5,1,0,0,1,0,20837,26072292.26
2020,1,7,15,3,0,0,0,0,48,27289.67
2020,1,7,7,3,0,0,0,0,70,40524.74
2020,1,7,13,11,0,0,0,0,2,5080
2020,1,7,10,7,0,0,0,0,7,7680.91
2020,1,7,13,13,0,0,0,0,4,1345.03
2020,1,7,7,19,0,0,0,0,1,80
2020,1,7,4,5,0,0,0,0,2,139
2020,1,7,11,2,0,0,0,0,19,15094.46
2020,1,7,12,1,0,0,0,1,15,13316.02
2020,1,7,15,2,0,0,0,0,6,2051.82
2020,1,7,4,10,0,0,0,0,1,50
2020,1,7,8,27,0,0,0,0,1,262
2020,1,7,16,13,0,0,0,0,5,8175.24
2020,1,7,8,1,0,1,0,0,20696,32220245.16
2020,1,7,3,1,0,0,0,1,405,695957.31
2020,1,7,16,18,0,0,0,0,91,59912.05
2020,1,7,10,1,0,0,0,1,361,562209.22
2020,1,7,5,11,0,0,0,0,823,666963.5
2020,1,7,18,6,0,0,0,0,156,158449.58
